PlayerId;Year;TeamId;LeagueId;GP;G;A;PIM;+/-;PP G;PP A;SH G;SH A;GR;GWG;SOG;FO;FO W;HIT;GvA;TkA;SB;TOI;PPTOI;SHTOI;Fights;Fights Won
368;2019;4;9999;7;2;3;0;2;0;0;0;0;65;1;11;0;0;11;5;2;8;9009;430;323;0;0
368;2020;4;9999;14;1;3;4;4;0;0;0;0;58;0;15;0;0;19;12;4;17;16189;387;524;0;0
368;2021;4;9999;17;1;4;2;-6;0;0;0;0;61;0;42;1;0;25;10;6;14;19661;1389;1011;0;0
7;2019;0;9999;7;1;3;4;-1;1;1;0;1;63;0;14;0;0;20;2;2;9;8430;1471;522;0;0
7;2020;5;9999;16;1;2;6;4;0;0;0;0;62;0;31;3;0;15;8;7;31;17419;758;1044;0;0
7;2021;9;9999;11;0;5;4;6;0;0;0;1;64;0;21;0;0;20;11;5;14;12435;36;964;0;0
23;2019;4;9999;7;2;1;0;2;0;0;0;0;60;0;7;84;42;2;2;0;5;6542;0;826;0;0
23;2020;4;9999;14;1;3;0;0;0;0;0;0;59;0;22;146;66;20;3;5;10;10941;0;1210;0;0
23;2021;4;9999;17;8;8;8;10;1;2;1;0;64;3;49;224;110;31;7;9;8;16111;2232;825;0;0
26;2019;0;9999;7;1;3;2;-2;0;2;0;0;59;0;23;13;5;12;3;2;9;7499;1405;0;0;0
26;2020;0;9999;7;1;4;0;1;1;0;0;0;63;0;15;22;12;7;7;1;10;7900;183;291;0;0
26;2021;0;9999;7;3;2;0;-1;0;1;0;0;69;0;27;16;7;9;1;5;13;7063;1197;0;0;0
26;2022;0;9999;16;4;5;0;6;0;1;0;0;66;1;45;35;15;14;6;4;14;14535;450;632;0;0
27;2019;0;9999;7;2;2;12;-3;1;0;0;0;69;0;13;79;43;7;3;4;8;7302;448;541;0;0
27;2020;0;9999;7;0;4;6;0;0;2;0;0;68;0;21;123;62;8;1;7;7;7824;597;227;0;0
27;2021;0;9999;7;2;3;0;0;1;1;0;0;70;1;23;122;66;6;1;2;7;7306;740;187;0;0
27;2022;0;9999;16;4;11;0;4;2;6;0;0;72;1;48;220;118;23;4;5;5;14049;2636;437;0;0
28;2019;0;9999;7;0;2;4;0;0;0;0;0;59;0;17;5;1;3;1;0;6;4286;1471;0;0;0
28;2020;0;9999;7;3;4;0;1;0;0;0;0;57;1;14;13;4;14;4;2;13;8077;183;0;0;0
41;2019;1;9999;15;0;4;2;8;0;1;0;0;56;0;16;0;0;19;8;6;19;17556;508;1256;0;0
41;2020;1;9999;12;0;2;0;0;0;0;0;0;58;0;13;0;0;22;12;4;7;9878;0;919;0;0
41;2021;1;9999;17;4;4;6;-1;0;0;0;0;59;0;40;0;0;26;13;5;13;23090;850;1245;0;0
48;2019;1;9999;15;5;4;2;6;0;0;0;0;68;0;39;14;4;17;8;2;19;14102;0;240;0;0
48;2020;1;9999;12;3;4;0;-5;0;0;0;0;64;1;21;19;4;13;6;4;22;10920;0;261;0;0
